,date,vaccine_num_total,vaccine_num_daily,link
85,2022-09-19,3435442000,140000,http://www.nhc.gov.cn/jkj/s7915/202209/879368f4fb544c28ae11a5387a519a5d.shtml
86,2022-09-18,3435302000,95000,http://www.nhc.gov.cn/jkj/s7915/202209/459a1c35e1054837be3ab754082b91c6.shtml
87,2022-09-17,3435207000,141000,http://www.nhc.gov.cn/jkj/s7915/202209/e206205b15c04e098cd454a4132154dc.shtml
88,2022-09-16,3435066000,160000,http://www.nhc.gov.cn/jkj/s7915/202209/108bb99e4bb844fa9f83b4b41a297f15.shtml
89,2022-09-15,3434906000,132000,http://www.nhc.gov.cn/jkj/s7915/202209/34c3c39a85e04653b5319b2df2b50251.shtml
90,2022-09-14,3434774000,153000,http://www.nhc.gov.cn/jkj/s7915/202209/3413803fc3524fb39f0cdb0003bc6aa0.shtml
91,2022-09-13,3434621000,134000,http://www.nhc.gov.cn/jkj/s7915/202209/70eb1da3bd7140219c4db851af743c7f.shtml
92,2022-09-12,3434487000,97000,http://www.nhc.gov.cn/jkj/s7915/202209/706172e476cc4387a82837f9e6318cde.shtml
93,2022-09-11,3434390000,73000,http://www.nhc.gov.cn/jkj/s7915/202209/17c98c6686c3438b8f0cb34a8d867f40.shtml
94,2022-09-10,3434317000,47000,http://www.nhc.gov.cn/jkj/s7915/202209/432f351a3af34145b42b6f109d144748.shtml
95,2022-09-09,3434270000,151000,http://www.nhc.gov.cn/jkj/s7915/202209/16d333a68d7c4f3ea16df247f213b5f8.shtml
96,2022-09-08,3434119000,159000,http://www.nhc.gov.cn/jkj/s7915/202209/7900eb935b0f4cf3b7a27eb118ec78bb.shtml
97,2022-09-07,3433960000,172000,http://www.nhc.gov.cn/jkj/s7915/202209/bd4b832a48df4af5bc92a289d175e87b.shtml
98,2022-09-06,3433788000,173000,http://www.nhc.gov.cn/jkj/s7915/202209/3227669b745747c28078251b064150d1.shtml
99,2022-09-05,3433615000,165000,http://www.nhc.gov.cn/jkj/s7915/202209/a2c5c9f4c18a4c7b98885afcde8aef53.shtml
100,2022-09-04,3433450000,122000,http://www.nhc.gov.cn/jkj/s7915/202209/986e82c0f96a4faa9a7b229765975b68.shtml
101,2022-09-03,3433328000,146000,http://www.nhc.gov.cn/jkj/s7915/202209/9cdf6b7535d94eb1b185d66785640113.shtml
102,2022-09-02,3433182000,198000,http://www.nhc.gov.cn/jkj/s7915/202209/93ad2ecaa84a4cadbe3abab750994b7b.shtml
103,2022-09-01,3432984000,206000,http://www.nhc.gov.cn/jkj/s7915/202209/a82d737ea6154c9da1fd2a118f56e6e3.shtml
104,2022-08-31,3432778000,272000,http://www.nhc.gov.cn/jkj/s7915/202209/e3b82c5fbf5944a284f5ec68784065a4.shtml
105,2022-08-30,3432506000,271000,http://www.nhc.gov.cn/jkj/s7915/202208/9c3fb6d052c0464aa7b7e2e4558e73b4.shtml
106,2022-08-29,3432235000,270000,http://www.nhc.gov.cn/jkj/s7915/202208/63a77e7477d7409da2bce2c59e475313.shtml
107,2022-08-28,3431965000,174000,http://www.nhc.gov.cn/jkj/s7915/202208/d3ad0adaf05640ffb674d0896f66f68f.shtml
108,2022-08-27,3431791000,231000,http://www.nhc.gov.cn/jkj/s7915/202208/bd2f3dcde11e47ada69f8fa02c08a7bf.shtml
109,2022-08-26,3431560000,313000,http://www.nhc.gov.cn/jkj/s7915/202208/495df4be33fc4e9b98dae7fe2b43da73.shtml
110,2022-08-25,3431247000,298000,http://www.nhc.gov.cn/jkj/s7915/202208/b303fde6ef024c2ab58f471196ddd0b4.shtml
111,2022-08-24,3430949000,325000,http://www.nhc.gov.cn/jkj/s7915/202208/ef660b4fe5ae454080814678c54e5bc4.shtml
112,2022-08-23,3430624000,327000,http://www.nhc.gov.cn/jkj/s7915/202208/6c767517c5c446dc9fe733956bfb7fdb.shtml
113,2022-08-22,3430297000,309000,http://www.nhc.gov.cn/jkj/s7915/202208/b372fa2d0e984e3b90854a1b5e3b0e74.shtml
114,2022-08-21,3429988000,184000,http://www.nhc.gov.cn/jkj/s7915/202208/9ac1b6323f844e7ca8610717f81fc922.shtml
115,2022-08-20,3429804000,225000,http://www.nhc.gov.cn/jkj/s7915/202208/fb89afb2a70147b8a482253e7a6396fd.shtml
